API,Unity API,RN API,Mismatched vs schema
registerSessionReadyListener,registerSessionReadyListener(),registerSessionReadyListener(callback),None
unregisterSessionReadyListener,unregisterSessionReadyListener(),unregisterSessionReadyListener(),None
handleOpenUrl,"handleOpenUrl(url, options) - public",not exposed as JS API,None (intentionally kept public - see project memory)
handleOpenURL,not implemented,not exposed as JS API,None (intentionally out of scope - see project memory)
handleLaunchOptions,handleLaunchOptions(launchOptions) - public,not exposed as JS API,None (intentionally kept public - see project memory)
continueUserActivity,"continueUserActivity(url, activityType) - public",not exposed as JS API,None (intentionally kept public - see project memory)
handlePushNotification,handlePushNotifications(pushPayload),folded into sendPushNotificationData,RN
sendPushNotificationData,"sendPushNotificationData(campaign, pid, isRetargeting, additionalParameters)","sendPushNotificationData(pushPayload, androidCampaignData?)",RN
addPushNotificationDeepLinkPath,addPushNotificationDeepLinkPath(paths[]),addPushNotificationDeepLinkPath(path),unconfirmed
generateInviteLink,generateInviteLink(Dictionary<string,string>) - referrerCustomerId remapped to Android's customerId internally (fixed),generateInviteLink(parameters),None
setDisableAdvertisingIdentifiers,setDisableAdvertisingIdentifiers(disable),setDisableAdvertisingIdentifiers(disable),None
setDisableAppleAdsAttribution,setDisableAppleAdsAttribution(disable),setDisableAppleAdsAttribution(disable),None
setDisableCollectASA,setDisableCollectASA(disable),setDisableCollectASA(disable),None
setDisableIDFVCollection,setDisableIDFVCollection(disable),setDisableIDFVCollection(disable),None
setDisableNetworkData,setDisableNetworkData(isDisable) - fixed,setDisableNetworkData(isDisable),None
setDisableSKAdNetwork,setDisableSKAdNetwork(disable),setDisableSKAdNetwork(disable),None
setFacebookDeferredAppLink,setFacebookDeferredAppLink(url),setFacebookDeferredAppLink(options),RN
setShouldCollectDeviceName,setShouldCollectDeviceName(collect),setShouldCollectDeviceName(collect),None
setUseReceiptValidationSandbox,setUseReceiptValidationSandbox(sandbox),setUseReceiptValidationSandbox(sandbox),None
setUseUninstallSandbox,setUseUninstallSandbox(sandbox),setUseUninstallSandbox(sandbox),None
setCurrentDeviceLanguage,setCurrentDeviceLanguage(language),setCurrentDeviceLanguage(language),None
setSharingFilterForPartners,setSharingFilterForPartners(partners),setSharingFilterForPartners(partners),None
setAppId,setAppId(appId),setAppId(appId),None
setCollectAndroidID,setCollectAndroidID(isCollect),setCollectAndroidID(isCollect),None
setIsUpdate,setIsUpdate(isUpdate),setIsUpdate(isUpdate),None
setOutOfStore / getOutOfStore,setOutOfStore(sourceName) / getOutOfStore(),same,None
setPreinstallAttribution,"setPreinstallAttribution(mediaSource, campaign, siteId)",same,None
isPreInstalledApp,isPreInstalledApp(),same,None
getAttributionId,getAttributionId(),same,None
getHostName,getHostName(),same,None
getHostPrefix,getHostPrefix(),same,None
isStopped,isStopped(),same,None
disableAppSetId,disableAppSetId(),same,None
updateServerUninstallToken (Android),updateServerUninstallToken(string token),updateServerUninstallToken(token),None
updateServerUninstallToken (iOS),updateServerUninstallToken(byte[]) - hex-encoded via BitConverter (fixed),not confirmed from docs,None
validateAndLogInAppPurchase,two typed overloads (Android/iOS),"one method, AFPurchaseType enum appears snake_case-only",RN (unconfirmed - needs js-core-plugin source)
